service_id,date,exception_type
毎日,20201229,1
毎日,20201230,1
毎日,20201231,1
毎日,20210101,1
毎日,20210102,1
毎日,20210103,1
毎日,20210111,1
毎日,20210211,1
毎日,20210223,1
毎日,20210320,1
毎日,20210429,1
毎日,20210503,1
毎日,20210504,1
毎日,20210505,1
毎日,20210722,1
毎日,20210723,1
毎日,20210808,1
毎日,20210809,1
毎日,20210920,1
毎日,20210923,1
毎日,20211103,1
毎日,20211123,1
毎日,20211229,1
毎日,20211230,1
毎日,20211231,1
毎日,20220101,1
毎日,20220102,1
毎日,20220103,1
毎日,20220110,1
毎日,20220211,1
毎日,20220223,1
毎日,20220321,1
毎日,20220429,1
毎日,20220503,1
毎日,20220504,1
毎日,20220505,1
毎日,20220718,1
毎日,20220811,1
毎日,20220919,1
毎日,20220923,1
毎日,20221010,1
毎日,20221103,1
毎日,20221123,1
毎日,20221229,1
毎日,20221230,1
毎日,20221231,1
毎日,20230101,1
毎日,20230102,1
毎日,20230103,1
毎日,20230109,1
毎日,20230211,1
毎日,20230223,1
毎日,20230321,1
毎日,20230429,1
毎日,20230503,1
毎日,20230504,1
毎日,20230505,1
毎日,20230717,1
毎日,20230811,1
毎日,20230918,1
毎日,20230923,1
毎日,20231009,1
毎日,20231103,1
毎日,20231123,1
毎日,20231229,1
毎日,20231230,1
毎日,20231231,1
毎日,20240101,1
毎日,20240102,1
毎日,20240103,1
毎日,20240108,1
毎日,20240211,1
毎日,20240212,1
毎日,20240223,1
毎日,20240320,1
毎日,20240429,1
毎日,20240503,1
毎日,20240504,1
毎日,20240505,1
毎日,20240506,1
毎日,20240715,1
毎日,20240811,1
毎日,20240812,1
毎日,20240916,1
毎日,20240922,1
毎日,20240923,1
毎日,20241014,1
毎日,20241103,1
毎日,20241104,1
毎日,20241123,1
毎日,20241229,1
毎日,20241230,1
毎日,20241231,1
毎日,20240101,1
毎日,20240102,1
毎日,20240103,1
