trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
2+毎日+1,9:00:00,9:00:00,1_1,1,アピア前,0,1
2+毎日+1,9:01:00,9:01:00,2_1,2,アピア前,0,0
2+毎日+1,9:03:00,9:03:00,3_1,3,アピア前,0,0
2+毎日+1,9:05:00,9:05:00,4_1,4,アピア前,0,0
2+毎日+1,9:06:00,9:06:00,5_1,5,アピア前,0,0
2+毎日+1,9:07:00,9:07:00,6_1,6,アピア前,0,0
2+毎日+1,9:08:00,9:08:00,7_1,7,アピア前,0,0
2+毎日+1,9:14:00,9:14:00,8_1,8,西町,0,0
2+毎日+1,9:16:00,9:16:00,9_1,9,西町,0,0
2+毎日+1,9:17:00,9:17:00,10_1,10,西町,0,0
2+毎日+1,9:18:00,9:18:00,11_1,11,西町,0,0
2+毎日+1,9:19:00,9:19:00,12_1,12,西町,0,0
2+毎日+1,9:20:00,9:20:00,13_1,13,西町,0,0
2+毎日+1,9:21:00,9:21:00,14_1,14,西町,0,0
2+毎日+1,9:22:00,9:22:00,15_1,15,西町,0,0
2+毎日+1,9:22:00,9:22:00,16_1,16,西町,0,0
2+毎日+1,9:23:00,9:23:00,17_1,17,西町,0,0
2+毎日+1,9:25:00,9:25:00,18_1,18,西町,0,0
2+毎日+1,9:26:00,9:26:00,19_1,19,西町,0,0
2+毎日+1,9:27:00,9:27:00,20_1,20,西町,0,0
2+毎日+1,9:27:00,9:27:00,21_1,21,西町,0,0
2+毎日+1,9:33:00,9:33:00,22_1,22,護国神社・富山まちなか病院前,0,0
2+毎日+1,9:34:00,9:34:00,23_0,23,護国神社・富山まちなか病院前,0,0
2+毎日+1,9:35:00,9:35:00,25_1,24,護国神社・富山まちなか病院前,0,0
2+毎日+1,9:37:00,9:37:00,26_1,25,護国神社・富山まちなか病院前,0,0
2+毎日+1,9:38:00,9:38:00,27_1,26,護国神社・富山まちなか病院前,0,0
2+毎日+1,9:39:00,9:39:00,28_1,27,護国神社・富山まちなか病院前,0,0
2+毎日+1,9:40:00,9:40:00,29_1,28,護国神社・富山まちなか病院前,0,0
2+毎日+1,9:41:00,9:41:00,30_1,29,護国神社・富山まちなか病院前,0,0
2+毎日+1,9:43:00,9:43:00,31_1,30,富山駅前,0,0
2+毎日+1,9:46:00,9:46:00,32_1,31,富山駅前,0,0
2+毎日+1,9:47:00,9:47:00,33_1,32,富山駅前,0,0
2+毎日+1,9:49:00,9:49:00,34_1,33,富山駅前,0,0
2+毎日+1,9:50:00,9:50:00,35_1,34,富山駅前,0,0
2+毎日+1,9:51:00,9:51:00,36_1,35,富山駅前,0,0
2+毎日+1,10:00:00,10:00:00,1_1,36,富山駅前,1,0
2+毎日+2,9:30:00,9:30:00,1_1,1,アピア前,0,1
2+毎日+2,9:31:00,9:31:00,2_1,2,アピア前,0,0
2+毎日+2,9:33:00,9:33:00,3_1,3,アピア前,0,0
2+毎日+2,9:35:00,9:35:00,4_1,4,アピア前,0,0
2+毎日+2,9:36:00,9:36:00,5_1,5,アピア前,0,0
