stop_id,stop_name,platform_code,stop_lat,stop_lon,zone_id,location_type
1_1,富山駅前,,36.699941,137.212183,1_1,0
1_2,富山駅前,,36.699752,137.211775,1_2,0
2_1,新桜町,,36.697688,137.214331,2_1,0
2_2,新桜町,,36.698058,137.212745,2_2,0
3_1,東田地方町,,36.695557,137.220786,3_1,0
3_2,東田地方町,,36.695938,137.220501,3_2,0
4_1,北新町・大阪屋ショップ前,,36.693502,137.221182,4_1,0
4_2,北新町・大阪屋ショップ前,,36.694252,137.2208,4_2,0
5_1,北新町東,,36.692495,137.223181,5_1,0
5_2,北新町東,,36.692393,137.224104,5_2,0
6_1,於保多神社前,,36.694054,137.226118,6_1,0
6_2,於保多神社前,,36.694345,137.226253,6_2,0
7_1,稲荷元町一丁目,,36.696726,137.227181,7_1,0
7_2,稲荷元町一丁目,,36.696575,137.227337,7_2,0
8_1,アピア前,,36.69584,137.229556,8_1,0
8_2,アピア前,,36.69614,137.22879,8_2,0
9_1,舘出町二丁目,,36.693708,137.231302,9_1,0
9_2,舘出町二丁目,,36.693242,137.23135,9_2,0
10_1,栄町二丁目,,36.69169,137.231652,10_1,0
10_2,栄町二丁目,,36.691559,137.231458,10_2,0
11_1,栄町三丁目,,36.690094,137.231366,11_1,0
11_2,栄町三丁目,,36.689603,137.231122,11_2,0
12_1,清水元町,,36.687999,137.23096,12_1,0
12_2,清水元町,,36.687654,137.230736,12_2,0
13_1,旭町公園前,,36.686913,137.228431,13_1,0
13_2,旭町公園前,,36.686997,137.228416,13_2,0
14_1,旭町,,36.686273,137.227487,14_1,0
14_2,旭町,,36.686067,137.227377,14_2,0
15_1,清水町九丁目,,36.685561,137.225999,15_1,0
15_2,清水町九丁目,,36.685639,137.226058,15_2,0
16_1,清水町八丁目,,36.68531,137.224181,16_1,0
16_2,清水町八丁目,,36.685365,137.224187,16_2,0
17_1,五番町,,36.686592,137.221622,17_1,0
17_2,五番町,,36.685732,137.222056,17_2,0
18_1,中教院前,,36.689785,137.221128,18_1,0
18_2,中教院前,,36.689766,137.22137,18_2,0
19_1,北新町,,36.692095,137.220579,19_1,0
19_2,北新町,,36.69214,137.219182,19_2,0
20_1,白銀町公園前,,36.691131,137.218582,20_1,0
20_2,白銀町公園前,,36.69117,137.218507,20_2,0
21_1,中央通り,,36.689415,137.218713,21_1,0
21_2,中央通り,,36.689384,137.218628,21_2,0
22_1,西町,,36.688628,137.216664,22_1,0
22_2,西町,,36.688809,137.216262,22_2,0
23_0,グランドプラザ前,,36.688812,137.213258,23_0,0
24_0,グランドプラザ前にいかわ信用金庫,,36.688624,137.213717,24_0,0
25_1,越前町,,36.688971,137.21068,25_1,0
25_2,越前町,,36.689229,137.210092,25_2,0
26_1,相生町,,36.68637,137.208559,26_1,0
26_2,相生町,,36.686376,137.208394,26_2,0
27_1,富山地方裁判所前,,36.683816,137.207189,27_1,0
27_2,富山地方裁判所前,,36.683961,137.207309,27_2,0
28_1,磯部町四丁目,,36.684078,137.204254,28_1,0
28_2,磯部町四丁目,,36.684276,137.203433,28_2,0
29_1,磯部町三丁目,,36.68534,137.202158,29_1,0
29_2,磯部町三丁目,,36.68546,137.202351,29_2,0
30_1,磯部町一丁目,,36.688185,137.202896,30_1,0
30_2,磯部町一丁目,,36.688112,137.203056,30_2,0
31_1,護国神社・富山まちなか病院前,,36.69018,137.203424,31_1,0
31_2,護国神社・富山まちなか病院前,,36.690208,137.203617,31_2,0
32_1,富山中部高校前,,36.695193,137.204635,32_1,0
32_2,富山中部高校前,,36.695272,137.204837,32_2,0
33_1,愛宕町一丁目,,36.69935,137.205897,33_1,0
33_2,愛宕町一丁目,,36.69933,137.20603,33_2,0
34_1,雄峰高校グラウンド前,,36.701182,137.205633,34_1,0
34_2,雄峰高校グラウンド前,,36.701603,137.205529,34_2,0
35_1,神通町,,36.702725,137.207239,35_1,0
35_2,神通町,,36.702582,137.207311,35_2,0
36_1,宝町,,36.70177,137.209607,36_1,0
36_2,宝町,,36.70132,137.210438,36_2,0
